configuration,precision,recall,f1-score
config_1,0.7654244539601827,0.7433817297827736,0.729104871010063
config_1_b,0.7494347986083233,0.7202083054551942,0.709306997253605
config_2,0.6617753011370032,0.6115571613363665,0.6068397589346338
config_2_b,0.7421540986705578,0.7282695481511218,0.7106375367548925
config_3,0.7568432706951373,0.7263805254471654,0.7145244201878083
