fold,precision,recall,f1-score
1,0.7465721040189124,0.723404255319149,0.7072554317235168
2,0.7620676100628931,0.7594339622641509,0.7403039832285115
3,0.7595744680851064,0.7139479905437353,0.7056174715749184
4,0.7504728132387707,0.7281323877068558,0.7171901384667342
5,0.7284869976359337,0.6761229314420804,0.6761679612743443
