fold,precision,recall,f1-score
1,0.907038446636628,0.9073120494335737,0.9046875803405711
2,0.9071194173438711,0.9110169491525424,0.9062616415095934
3,0.8854325731806083,0.8772819472616633,0.8783021148062374
4,0.8995794517221588,0.9177001127395716,0.9046876421063226
5,0.9194886778621023,0.8862212943632568,0.8988334443017506
