fold,precision,recall,f1-score
1,0.8033322075875267,0.7683215130023641,0.7605257232916808
2,0.7193396226415094,0.7051886792452831,0.6879941599281221
3,0.7819148936170213,0.7399527186761229,0.7332770460430035
4,0.7332545311268716,0.6997635933806147,0.6860970392885286
5,0.7463750985027582,0.7186761229314421,0.7047281323877069
